Date,Store ID,Region,Product Category,In-Store Sales Volume,In-Store Sales Revenue,Online Sales Volume,Online Sales Revenue,Promotional Activity,Foot Traffic,Customer Age,Competitor Activity,Weather Conditions
2021-01-03,Store_1,London,Groceries,147,2426.337224579623,108,584.0931161903109,False,746,53,New Store,Cloudy
2021-01-03,Store_1,London,Electronics,188,3204.013440263396,40,608.1337479689494,True,423,58,None,Snowy
2021-01-03,Store_1,London,Clothing,166,2956.1361535240158,50,942.0276447048785,False,486,40,None,Cloudy
2021-01-03,Store_1,London,Home & Garden,129,1021.2097992230322,89,1382.741116218493,True,729,48,Promotion,Snowy
2021-01-03,Store_1,London,Health & Beauty,170,1973.7933853023449,34,480.2117192916028,False,1180,25,None,Cloudy
2021-01-03,Store_2,Manchester,Groceries,70,934.9876649928133,36,569.5347488041348,False,939,47,None,Rainy
2021-01-03,Store_2,Manchester,Electronics,159,2388.7656938827836,53,282.8550875721329,True,1093,31,None,Sunny
2021-01-03,Store_2,Manchester,Clothing,119,1275.8607404548857,97,1114.728209219792,True,335,19,Promotion,Snowy
2021-01-03,Store_2,Manchester,Home & Garden,155,1932.1119173890806,146,1976.5785388930542,False,438,29,New Store,Sunny
2021-01-03,Store_2,Manchester,Health & Beauty,105,1469.5626718852739,136,2297.8478052483697,True,412,54,Promotion,Rainy
2021-01-03,Store_3,Birmingham,Groceries,63,335.3168015640803,32,232.85565976713548,False,497,30,None,Rainy
2021-01-03,Store_3,Birmingham,Electronics,180,3432.129956172883,63,891.6741377297498,True,310,31,New Store,Cloudy
2021-01-03,Store_3,Birmingham,Clothing,136,2387.464940235952,67,982.1170019536924,False,1193,36,None,Cloudy
2021-01-03,Store_3,Birmingham,Home & Garden,104,1833.4437190607368,69,977.9435223307805,False,1109,26,Promotion,Rainy
2021-01-03,Store_3,Birmingham,Health & Beauty,62,487.1641111318768,30,459.5464832422092,True,350,46,None,Rainy
2021-01-03,Store_4,Glasgow,Groceries,120,1955.1629774978496,138,1424.2556942641731,True,899,51,None,Snowy
2021-01-03,Store_4,Glasgow,Electronics,165,1746.320444611756,59,549.3120461027731,False,626,55,None,Sunny
2021-01-03,Store_4,Glasgow,Clothing,181,1935.305218809485,110,1811.4599803186572,False,1095,46,Promotion,Cloudy
2021-01-03,Store_4,Glasgow,Home & Garden,109,1027.2291524151262,149,1763.8265674409602,True,621,64,New Store,Cloudy
2021-01-03,Store_4,Glasgow,Health & Beauty,196,3298.1780320836137,65,381.4822317051667,True,939,59,New Store,Rainy
2021-01-03,Store_5,Leeds,Groceries,184,2367.7759176160357,97,1727.326462486046,True,501,58,Promotion,Cloudy
2021-01-03,Store_5,Leeds,Electronics,176,2964.5250863653164,30,553.0850874738704,False,1186,35,None,Snowy
2021-01-03,Store_5,Leeds,Clothing,191,1389.0401189559211,66,603.1475255162613,True,1153,56,None,Snowy
2021-01-03,Store_5,Leeds,Home & Garden,109,746.7472903570559,101,945.6619687639763,False,1172,39,New Store,Cloudy
